id,industry,country,city
10001,Agriculture,United States,Davis
10002,Arts & Education,Australia,Perth
10003,Arts & Education,Austria,Lieboch
10004,Arts & Education,Brazil,São Paulo
10005,Arts & Education,Canada,Georgetown
10006,Arts & Education,Canada,Hamilton
10007,Arts & Education,Canada,Milton
10008,Arts & Education,Canada,Mississauga
10009,Arts & Education,Canada,Regina
10010,Arts & Education,Canada,Toronto
10011,Arts & Education,Canada,Toronto
10012,Arts & Education,Canada,Toronto
10013,Arts & Education,Chile,Santiago
10014,Arts & Education,France,Bagneux
10015,Arts & Education,Germany,Bad Nauheim
10016,Arts & Education,Greece,Thessaloniki
10017,Arts & Education,Hong Kong,Prince Edward
10018,Arts & Education,Hong Kong,Hong Kong
10019,Arts & Education,Japan,Bunkyo-Ku
10020,Arts & Education,Malaysia,Subang Jaya
10021,Arts & Education,Nigeria,Ajah
10022,Arts & Education,Romania,Bucharest
10023,Arts & Education,Romania,Cluj-Napoca
10024,Arts & Education,Singapore,Singapore
10025,Arts & Education,Singapore,Singapore
10026,Arts & Education,Singapore,Singapore
10027,Arts & Education,Singapore,Singapore
10028,Arts & Education,South Africa,Cape Town
10029,Arts & Education,Spain,A Coruña
10030,Arts & Education,Spain,Galapagar
10031,Arts & Education,United Kingdom,London
10032,Arts & Education,United Kingdom,London
10033,Arts & Education,United Kingdom,Thames Ditton
10034,Arts & Education,United Kingdom,Warrington
10035,Arts & Education,United States,Albany
10036,Arts & Education,United States,Ashburn
10037,Arts & Education,United States,Barrington
10038,Arts & Education,United States,Bethany
10039,Arts & Education,United States,Bloomfield
10040,Arts & Education,United States,Boston
10041,Arts & Education,United States,Brookline
10042,Arts & Education,United States,Chicago
10043,Arts & Education,United States,Darien
10044,Arts & Education,United States,Denver
10045,Arts & Education,United States,Dublin
10046,Arts & Education,United States,Foster City
10047,Arts & Education,United States,Foster City
10048,Arts & Education,United States,Grafton
10049,Arts & Education,United States,Lombard
10050,Arts & Education,United States,Los Angeles
10051,Arts & Education,United States,Middletown
10052,Arts & Education,United States,New York
10053,Arts & Education,United States,New York
10054,Arts & Education,United States,New York
10055,Arts & Education,United States,Newhall
10056,Arts & Education,United States,Portland
10057,Arts & Education,United States,Princeton
10058,Arts & Education,United States,White Plains
10059,Construction,Hong Kong,Tsim Sha Tsui East
10060,Construction,New Zealand,Auckland
10061,Construction,United States,Cedar Park
10062,Energy & Transport,Australia,South Melbourne
10063,Energy & Transport,Austria,Vienna
10064,Energy & Transport,Canada,Mississauga
10065,Energy & Transport,Netherlands,Amersfoort
10066,Energy & Transport,Singapore,Singapore
10067,Energy & Transport,Singapore,Singapore
10068,Energy & Transport,South Africa,Johannesburg
10069,Energy & Transport,South Africa,St Francis Bay
10070,Energy & Transport,United Kingdom,London
10071,Energy & Transport,United States,Austin
10072,Energy & Transport,United States,Broomall
10073,Energy & Transport,United States,Houston
10074,Energy & Transport,United States,Irvine
10075,Energy & Transport,United States,Piscataway
10076,Energy & Transport,United States,San Francisco
10077,Energy & Transport,United States,San Mateo
10078,Engineering,Brazil,Natal
10079,Engineering,Canada,Brossard
10080,Engineering,Canada,Edmonton
10081,Engineering,Canada,Montreal
10082,Engineering,Canada,Saint Hubert
10083,Engineering,Canada,Toronto
10084,Engineering,Canada,Vancouver
10085,Engineering,Guatemala,Guatemala
10086,Engineering,Hong Kong,Hong Kong
10087,Engineering,Hong Kong,Hong Kong
10088,Engineering,Hong Kong,Hung Hom
10089,Engineering,India,Bangalore
10090,Engineering,India,Bangalore
10091,Engineering,India,Bangalore
10092,Engineering,India,Varanasi
10093,Engineering,"Korea, Republic Of",Uiwang
10094,Engineering,Malaysia,Klang
10095,Engineering,Netherlands,S-Gravenhage
10096,Engineering,Poland,Krakow
10097,Engineering,Romania,Bucharest
10098,Engineering,Singapore,Singapore
10099,Engineering,Singapore,Singapore
10100,Engineering,Singapore,Singapore
10101,Engineering,Singapore,Singapore
10102,Engineering,Singapore,Singapore
10103,Engineering,Singapore,Singapore
10104,Engineering,Spain,Madrid
10105,Engineering,Switzerland,Zürich
10106,Engineering,United Kingdom,Chatham
10107,Engineering,United Kingdom,London
10108,Engineering,United Kingdom,London
10109,Engineering,United States,Andover
10110,Engineering,United States,Austin
10111,Engineering,United States,Bartlett
10112,Engineering,United States,Bethlehem
10113,Engineering,United States,Brooklyn
