Occupation,Industry,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
Chief executives,Management,1046,2041,763,2251,283,1836
General and operations managers,Management,823,1260,621,1347,202,1002
Legislators,Management,8,NA,5,NA,4,NA
Advertising and promotions managers,Management,55,1050,29,NA,26,NA
Marketing and sales managers,Management,948,1462,570,1603,378,1258
Public relations and fundraising managers,Management,59,1557,24,NA,35,NA
Administrative services managers,Management,170,1191,96,1451,73,981
Computer and information systems managers,Management,636,1728,466,1817,169,1563
Financial managers,Management,1124,1408,551,1732,573,1130
Compensation and benefits managers,Management,23,NA,7,NA,16,NA
Human resources managers,Management,254,1365,68,1495,186,1274
Training and development managers,Management,37,NA,17,NA,20,NA
Industrial production managers,Management,267,1485,221,1528,45,NA
Purchasing managers,Management,193,1348,109,1404,84,1226
"Transportation, storage, and distribution managers",Management,276,966,224,1006,52,749
"Farmers, ranchers, and other agricultural managers",Management,129,769,106,847,23,NA
Construction managers,Management,471,1329,429,1357,42,NA
Education administrators,Management,778,1423,282,1585,496,1252
Architectural and engineering managers,Management,110,1899,101,1892,10,NA
Food service managers,Management,763,742,389,820,374,680
Funeral service managers,Management,13,NA,10,NA,2,NA
Gaming managers,Management,19,NA,13,NA,6,NA
Lodging managers,Management,123,985,54,1171,68,902
Medical and health services managers,Management,592,1210,154,1422,438,1156
Natural sciences managers,Management,24,NA,11,NA,13,NA
Postmasters and mail superintendents,Management,20,NA,10,NA,10,NA
"Property, real estate, and community association managers",Management,401,914,171,1137,230,823
Social and community service managers,Management,305,1022,105,1142,200,965
Emergency management directors,Management,9,NA,6,NA,3,NA
"Managers, all other",Management,2803,1408,1717,1525,1085,1213
"Agents and business managers of artists, performers, and athletes",Business,27,NA,13,NA,14,NA
"Buyers and purchasing agents, farm products",Business,11,NA,9,NA,2,NA
"Wholesale and retail buyers, except farm products",Business,142,926,73,886,69,985
"Purchasing agents, except wholesale, retail, and farm products",Business,260,1009,136,1020,124,986
"Claims adjusters, appraisers, examiners, and investigators",Business,317,963,141,1134,176,824
Compliance officers,Business,235,1198,126,1375,109,1025
Cost estimators,Business,95,1232,83,1264,12,NA
Human resources workers,Business,592,1002,151,1158,441,984
"Compensation, benefits, and job analysis specialists",Business,63,998,12,NA,50,898
Training and development specialists,Business,107,990,42,NA,65,1037
Logisticians,Business,111,1028,66,1075,44,NA
Management analysts,Business,529,1431,291,1519,237,1348
"Meeting, convention, and event planners",Business,117,859,27,NA,90,840
Fundraisers,Business,62,1136,14,NA,48,NA
Market research analysts and marketing specialists,Business,203,1284,85,1411,118,1239
"Business operations specialists, all other",Business,186,1090,74,1461,112,969
Accountants and auditors,Business,1464,1132,618,1345,846,988
Appraisers and assessors of real estate,Business,42,NA,21,NA,21,NA
Budget analysts,Business,44,NA,17,NA,28,NA
Credit analysts,Business,17,NA,8,NA,9,NA
Financial analysts,Business,295,1426,168,1680,127,1171
Personal financial advisors,Business,407,1419,248,1738,159,1033
Insurance underwriters,Business,106,1149,44,NA,63,956
Financial examiners,Business,17,NA,9,NA,8,NA
Credit counselors and loan officers,Business,313,997,146,1186,166,906
"Tax examiners and collectors, and revenue agents",Business,59,1051,20,NA,39,NA
Tax preparers,Business,56,892,19,NA,37,NA
"Financial specialists, all other",Business,66,1162,25,NA,40,NA
Computer and information research scientists,Computational,28,NA,23,NA,5,NA
Computer systems analysts,Computational,499,1389,325,1462,173,1256
Information security analysts,Computational,67,1538,56,1562,11,NA
Computer programmers,Computational,450,1438,357,1501,93,1302
"Software developers, applications and systems software",Computational,1287,1682,1054,1751,232,1415
Web developers,Computational,151,1165,98,1233,53,1026
Computer support specialists,Computational,396,1079,291,1135,105,908
Database administrators,Computational,90,1536,58,1829,32,NA
Network and computer systems administrators,Computational,208,1242,179,1266,28,NA
Computer network architects,Computational,115,1552,100,1577,15,NA
"Computer occupations, all other",Computational,490,1227,374,1252,116,1145
Actuaries,Computational,24,NA,18,NA,6,NA
Mathematicians,Computational,6,NA,6,NA,0,NA
Operations research analysts,Computational,122,1441,59,1574,63,1325
Statisticians,Computational,76,1275,37,NA,39,NA
Miscellaneous mathematical science occupations,Computational,1,NA,1,NA,0,NA
"Architects, except naval",Engineering,138,1441,106,1492,31,NA
"Surveyors, cartographers, and photogrammetrists",Engineering,29,NA,23,NA,6,NA
Aerospace engineers,Engineering,140,1662,122,1668,18,NA
Agricultural engineers,Engineering,5,NA,5,NA,0,NA
Biomedical engineers,Engineering,12,NA,10,NA,2,NA
Chemical engineers,Engineering,79,1532,69,1583,10,NA
Civil engineers,Engineering,316,1460,275,1474,41,NA
Computer hardware engineers,Engineering,72,1876,62,1871,10,NA
Electrical and electronics engineers,Engineering,283,1778,246,1819,37,NA
Environmental engineers,Engineering,35,NA,26,NA,9,NA
"Industrial engineers, including health and safety",Engineering,205,1447,168,1430,37,NA
Marine engineers and naval architects,Engineering,9,NA,9,NA,0,NA
Materials engineers,Engineering,36,NA,33,NA,4,NA
Mechanical engineers,Engineering,316,1534,294,1550,23,NA
"Mining and geological engineers, including mining safety engineers",Engineering,15,NA,15,NA,0,NA
Nuclear engineers,Engineering,5,NA,3,NA,2,NA
Petroleum engineers,Engineering,43,NA,39,NA,3,NA
"Engineers, all other",Engineering,393,1527,339,1537,54,1448
Drafters,Engineering,114,977,91,977,23,NA
"Engineering technicians, except drafters",Engineering,352,963,284,984,68,827
Surveying and mapping technicians,Engineering,58,1012,54,1031,4,NA
Agricultural and food scientists,Science,22,NA,12,NA,10,NA
Biological scientists,Science,74,1233,46,NA,28,NA
Conservation scientists and foresters,Science,23,NA,16,NA,7,NA
Medical scientists,Science,151,1250,68,1362,84,1082
"Life scientists, all other",Science,1,NA,1,NA,0,NA
Astronomers and physicists,Science,14,NA,11,NA,3,NA
Atmospheric and space scientists,Science,8,NA,8,NA,1,NA
Chemists and materials scientists,Science,93,1432,61,1496,33,NA
Environmental scientists and geoscientists,Science,90,1423,65,1740,25,NA
"Physical scientists, all other",Science,189,1553,121,1770,68,1170
Economists,Science,29,NA,17,NA,12,NA
Survey researchers,Science,0,NA,0,NA,0,NA
Psychologists,Science,114,1367,31,NA,83,1189
Sociologists,Science,0,NA,0,NA,0,NA
Urban and regional planners,Science,22,NA,13,NA,9,NA
Miscellaneous social scientists and related workers,Science,37,NA,19,NA,19,NA
Agricultural and food science technicians,Science,28,NA,21,NA,7,NA
Biological technicians,Science,20,NA,10,NA,10,NA
Chemical technicians,Science,75,944,43,NA,32,NA
Geological and petroleum technicians,Science,22,NA,18,NA,4,NA
